#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Legendary #;;;;;;;;;;;;;;
aluneth;Aluneth;Aluneth;Aluneth;;;;;;;;;;;x
libram_of_devoutness_01_desc;This libram is a symbol of devoutness to the ideals of the Holy Light. Its owner proves to be a faithful student of the Light and a righteous defender.;Ce libram est un symbole de dévotion aux idéaux de la Lumière sacrée. Son propriétaire s'avère être un étudiant fidèle de la Lumière et son juste défenseur.;Dieser Foliant ist ein Symbol der Frömmigkeit vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als treuer Schüler und rechtschaffener Verteidiger des Lichts.;;;;;;;;;;;x
libram_of_guardianship_01;Libram of Guardianship;Libram du gardien;Foliant der Bewahrung;;;;;;;;;;;x
libram_of_guardianship_01_desc;This libram is a symbol of guardianship before the ideals of the Holy Light. Its owner proves to be a strong and righteous fighter for the Light.;Ce libram est un symbole de protection devant les idéaux de la Sainte Lumière. Son propriétaire s'avère être un combattant fort et juste de la Lumière.;Dieser Foliant ist ein Symbol der Bewahrung vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als starker und gerechter Kämpfer für das Licht.;;;;;;;;;;;x
libram_of_reckoning_01;Libram of Reckoning;Libram de reconnaissance;Foliant der Abrechnung;;;;;;;;;;;x
libram_of_reckoning_01_desc;This libram is a symbol of reckoning before the ideals of the Holy Light. Its owner proves to be a strong fighter for the Light.;Ce libram est un symbole de reconnaissance devant les idéaux de la Lumière sacrée. Son propriétaire s'avère être un ardent défenseur de la Lumière.;Dieser Foliant ist ein Symbol der Abrechnung vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als starker Kämpfer für das Licht.;;;;;;;;;;;x
libram_of_righteousness_01;Libram of Righteousness;Libram de vertu;Foliant der Rechtschaffenheit;;;;;;;;;;;x
libram_of_righteousness_01_desc;This libram is a symbol of righteousness before the ideals of the Holy Light. Its owner proves to be a faithful student and righteous fighter for the Light.;Ce libram est un symbole de justice devant les idéaux de la Sainte Lumière. Son propriétaire s'avère être un étudiant fidèle et un combattant vertueux de la Lumière.;Dieser Foliant ist ein Symbol der Rechtschaffenheit vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als treuer Schüler und rechtschaffener Kämpfer für das Licht.;;;;;;;;;;;x
runeblade_blood_1;Blood Runeblade;;Runenklinge des Bluts;;;;;;;;;;;x
runeblade_blood_1_desc;A blood runeblade.;;Eine Runenklinge des Bluts.;;;;;;;;;;;x
runeblade_frost_1;Frost Runeblade;;Runenklinge des Frosts;;;;;;;;;;;x
runeblade_frost_1_desc;A frost runeblade.;;Eine Runenklinge des Frosts.;;;;;;;;;;;x
runeblade_unholy_1;Unholy Runeblade;;Unheilige Runenklinge;;;;;;;;;;;x
runeblade_unholy_1_desc;An unholy runeblade.;;Eine unheilige Runenklinge.;;;;;;;;;;;x
soul_shard;Soul Shard;Éclat d'âme;Seelensplitter;;;;;;;;;;;x
soul_shard_desc;The violet stones, in which the souls of the unfortunate are imprisoned, are used by warlocks to enhance their twisted, dark magic.;Les pierres violettes, dans lesquelles les âmes des malheureux sont emprisonnées, sont utilisées par les démonistes pour renforcer leur magie noire corrompue.;Die violetten Steine, in denen die Seelen der Unglücklichen gefangen sind, werden von Hexenmeistern benutzt, um ihre verdrehte, dunkle Magie zu verstärken.;;;;;;;;;;;x
tauren_totem;Tauren Totem;Totem tauren;Taurentotem;;;;;;;;;;;x
tauren_totem_desc;The totem of a tauren chieftain.;Le totem d'un chef tauren.;Das Totem eines Taurenhäuptlings.;;;;;;;;;;;x
top_hat;Fancy Top Hat;Haut-de-forme;Schicker Zylinder;;;;;;;;;;;x
top_hat_desc;With this top hat, you will definitely attract attention to yourself!;Avec ce haut-de-forme, vous attirerez à coup sûr l'attention !;Mit diesem Zylinder lenkt Ihr die Aufmerksamkeit auf Euch!;;;;;;;;;;;x
whispers_martial_1;Requiem of Devourers;Requiem des dévoreurs;Totenklage der Verschlinger;;;;;;;;;;;x
whispers_martial_1_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_stewardship_1;Visions of the Black Empire;Visions de l'Empire noir;Visionen des schwarzen Reiches;;;;;;;;;;;x
whispers_stewardship_1_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_intrigue_1;Murmurs of the Deep Below;Murmures des profondeurs;Raunen aus der Tiefe;;;;;;;;;;;x
whispers_intrigue_1_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_learning_1;Augurs of Eldritch Insights;Présages indicibles;Unheimliche Einblicke;;;;;;;;;;;x
whispers_learning_1_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
halaani_whiskey_keg;Halaani Whiskey Keg;;Halaaniwhiskeyfass;;;;;;;;;;;x
halaani_whiskey_keg_desc;A keg of Halaani Whiskey. Consumers find themselves talking a lot.;;Ein Fass Halaaniwhiskey. Konsumenten sind oftmals redselig.;;;;;;;;;;;x
sulfuron_slammer_keg;Sulfuron Slammer Keg;;Sulfuronwasserfass;;;;;;;;;;;x
sulfuron_slammer_keg_desc;A keg of Sulfuron Slammer. It's gonna knock your socks off, then set your feet on fire.;;Ein Fass Sulfuronwasser. Es wird dich von den Socken hauen und dann deine Füße in Brand setzen.;;;;;;;;;;;x
metal_brew_keg;Metal Brew Keg;;Metallbräufass;;;;;;;;;;;x
metal_brew_keg_desc;A keg of Metal Brew. It holds the heat of a burning forge with the strong, stern tones of the earth.;;Ein Fass Metallbräu. Es enthält die Hitze einer brennenden Schmiede mit den starken, strengen Nuancen der Erde.;;;;;;;;;;;x
tiger_stout_keg;Tiger Stout Keg;;Tigerbräufass;;;;;;;;;;;x
tiger_stout_keg_desc;A keg of Tiger Stout. Gives the consumer the swiftness of the tiger. Also makes them prone to meowing.;;Ein Fass Tigerbräu. Verleiht dem Konsumenten die Schnelligkeit des Tigers. Macht ihn auch anfällig für Miauen.;;;;;;;;;;;x
serpent_ale_keg;Serpent Ale Keg;;Schlangenbräufass;;;;;;;;;;;x
serpent_ale_keg_desc;A keg of Serpent Ale. It's admirers often blabble about ssssecret knowledge.;;Ein Fass Serpent Ale. Seine Bewunderer plaudern oft über geheimessss Wissssen.;;;;;;;;;;;x
# Any #;;;;;;;;;;;;;;
heart_of_yshaarj;Heart of Y'Shaarj;;Herz von Y'Shaarj;;;;;;;;;;;x
heart_of_yshaarj_desc;A diseased, icy mass of flesh seething with Void energies is the actual heart of the deceased Old God Y'Shaarj. When Y'Shaarj was torn apart by the titan Aman'Thul, its monstrous heart was the largest part of the Old God that remained intact.;;Eine kranke, vereiste Fleischmasse, die vor Leerenergien brodelt, ist das eigentliche Herz des verstorbenen alten Gottes Y'Shaarj. Als Y'Shaarj von dem Titanen Aman'Thul zerrissen wurde, war sein monströses Herz der größte Teil des alten Gottes, der intakt blieb.;;;;;;;;;;;x
