#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLE_WCCLS_1;Education Initiated;Apprentissage débuté;Ausbildung begonnen;;;;;;;;;;;x
EVTDESC_WCCLS_27_void;After your long research, you finally feel that you are standing at the threshold of new discoveries. In ancient books, you found information about... the Old Gods and the twisted magic of the Void. Not many were able to curb this force and remain sane. You can continue your research, but if you cross this line, there will be no turning back.;Après vos longues recherches, vous sentez enfin que vous vous trouvez au seuil de nouvelles découvertes. Dans les livres anciens, vous avez trouvé des informations sur... les Dieux très anciens et la magie tordue du Vide. Peu d'entre eux ont réussi à endiguer cette force et à rester sain d'esprit. Vous pouvez poursuivre vos recherches, mais si vous franchissez cette ligne, il n'y aura pas de retour possible.;Nach langer Recherche habt Ihr endlich das Gefühl, dass Ihr an der Schwelle zu neuen Entdeckungen steht. In alten Büchern fandet ihr Informationen über.... die alten Götter und die verdrehte Magie der Leere. Nicht viele waren in der Lage, diese Kraft einzudämmen und bei Verstand zu bleiben. Ihr könnt Eure Forschung fortsetzen, aber wenn Ihr diese Grenze überschreitet, gibt es kein Zurück mehr.;;;;;;;;;;;x
EVTOPTA_WCCLS_27;I want to know more!;Je veux en savoir plus !;Ich möchte mehr wissen!;;;;;;;;;;;x
EVTOPTB_WCCLS_27;NO!;NON !;NEIN!;;;;;;;;;;;x
study_magical_secrets;Study Magical Secrets;Étudier les secrets magiques;Studiert magische Geheimnisse;;;;;;;;;;;x
study_magical_secrets_desc;Devote a couple of months of your life to studying the secrets of arcane magic that can give you a benefitial modifier.;Consacrez quelques mois de votre vie à l'étude des secrets de la magie des arcanes qui peuvent vous donner un modificateur bénéfique.;Widmet ein paar Monate Eures Lebens dem Studium der Geheimnisse der arkanen Magie, die Euch nützliche Hilfsmittel bieten könnte.;;;;;;;;;;;x
nick_the_thunderbringer;the Thunderbringer;[From.GetLeLa] Portefoudre;[From.Getderdie] Donnerbringer[From.GetinFemale];;;;;;;;;;;x
BM_REIGN_OF_CHAOS_DESC;After many years of peace and quiet, the rumours of "death cults" began to circulate in the northern provinces. The cults attracted the disenfranchised and disheartened citizens of Lordaeron, offering them "eternal life" on Azeroth as an alternative to the servitude to the king. King Terenas knew that troubles were only just beginning for his land. He took some comfort in the fact that Lordaeron had endured every trial that had ever come its way - and that its defenders, both new and old, would see it safely through to a new dawn…;Après des années de paix et de calme, les rumeurs de « cultes de la mort » ont commencé à circuler dans les provinces du nord. Ces cultes attirent les citoyens de Lordaeron, privés de leurs droits et découragés, et leur offrent la « vie éternelle » sur Azeroth comme alternative à la servitude royale. Le roi Terenas savait que les troubles ne faisaient que commencer dans son pays. Il se consolait en pensant que Lordaeron avait enduré toutes les épreuves qui s'étaient présentées à lui et que ses défenseurs, anciens et nouveaux, le mèneraient à bon port jusqu'à une nouvelle aube...;Nach vielen Jahren des Friedens und der Ruhe begannen sich in den nördlichen Provinzen die Gerüchte über „Totenkulte“ zu verbreiten. Die Kulte zogen die entrechteten und entmutigten Bürger von Lordaeron an und boten ihnen auf Azeroth ein „ewiges Leben“ als Alternative zur Knechtschaft gegenüber dem König. König Terenas wusste, dass die Schwierigkeiten für sein Land erst am Anfang standen. Er tröstete sich damit, dass Lordaeron jede Prüfung ertragen hatte, der es je entgegenstand - und dass seine Verteidiger, ob neu oder alt, es sicher durch eine neue Dämmerung bringen würden...;;;;;;;;;;;x
EVTDESC_WCDAC_150_demon;You received news that your [GetFromRelation] [From.GetFirstName], under the influence of the Fel, abandoned [Root.GetHisHer] own body in favour of an immortal existence on the edge of the physical world and the demonic Twisting Nether.;Vous avez reçu la nouvelle que votre [GetFromRelation] [From.GetFirstName], sous l'influence de l'énergie gangrenée, a abandonné son propre corps en faveur d'une existence immortelle à la limite du monde physique et du Néant distordu démoniaque.;Ihr habt Nachrichten erhalten, dass [From.GetEuerEure] [GetFromRelation] [From.GetFirstName] unter dem Einfluss des Fel den eigenen Körper verlassen hat, zugunsten einer unsterblichen Existenz der Grenze der physischen Welt zum dämonischen wirbelnden Nethers.;;;;;;;;;;;x
EVTDESC_WCDAC_150_evil;You received news that your [GetFromRelation] [From.GetFirstName] fell under the influence of dark forces, which strive to plunge Azeroth into the abyss of chaos and suffering;Vous avez reçu la nouvelle que votre [GetFromRelation] [From.GetFirstName] est tombé sous l'influence de forces obscures, qui s'efforcent de plonger Azeroth dans l'abîme du chaos et de la souffrance.;Ihr habt Nachrichten erhalten, dass [From.GetEuerEure] [GetFromRelation] [From.GetFirstName] unter den Einfluss dunkler Kräfte fiel, die versuchen Azeroth in den Abgrund des Chaos und des Leids zu stürzen.;;;;;;;;;;;x
EVTOPTB_WCDAC_150_close;[From.GetSheHeCap] is not my [GetFromRelation] anymore!;[From.GetSheHeCap] n'est plus mon [GetFromRelation] !;[From.GetSheHeCap] ist nicht länger mein [GetFromRelation]!;;;;;;;;;;;x
escape_from_tomb_effect_tooltip;Escape from the dungeon\n;S'échappe du donjon\n;Flieht aus dem Dungeon.;;;;;;;;;;;x
is_magic_class_trigger_tooltip;Has a magic class\n;A une classe magique\n;Hat eine magische Klasse\n;;;;;;;;;;;x
has_3_powerful_magical_artifact_trigger_tooltip;Has §Y3 Powerful Magical Artifacts§!;Verfügt über §Y3 mächtige magische Artefakte§!;Verfügt über §Y3 mächtige magische Artefakte§!;;;;;;;;;;;x
poison_with_gas;Use Poisonous Gas;Utiliser du gaz toxique;Verwendet giftiges Gas;;;;;;;;;;;x
poison_with_gas_desc;Use poisonous gas against §Y[Root.GetTitledName]§! to make [Root.GetHerHim] incapable for a while.;Utilisez un gaz toxique contre §Y[Root.GetTitledName]§! pour [Root.GetHerHim] rendre incapable pendant un certain temps.;Verwendet giftiges Gas gegen §Y[Root.GetTitledName]§!, um [Root.Getihnsie] für eine Weile unschädlich zu machen.;;;;;;;;;;;x
has_been_poisoned_by_gas;Has Been Poisoned by Gas;A été empoisonné par du gaz;Wurde durch Gas vergiftet;;;;;;;;;;;x
EVTDESC_WCCLS_505;While you were in your chambers, you noticed that a strange figure slipped into the doorway behind your back. A moment later, the whole room was filled with green gas. You rushed out of there, covering your face with your hand.;Alors que vous étiez dans votre chambre, vous avez remarqué qu'une étrange silhouette s'était glissée dans l'embrasure de la porte derrière votre dos. Un instant plus tard, toute la pièce était remplie de gaz vert. Vous vous êtes précipité hors de là, vous couvrant le visage avec votre main.;Während Ihr in Euren Gemächern wart, bemerktet Ihr, dass eine seltsame Gestalt hinter Eurem Rücken in die Türöffnung geschlüpft ist. Einen Moment später war der ganze Raum mit grünem Gas gefüllt. Ihr stürmtet aus dem Zimmer, Euer Gesicht mit der Hand bedeckt.;;;;;;;;;;;x
EVTDESC_WCCLS_506_successful;At midnight your assassin made it into [From.GetFirstName]'s chamber with a sealed container of deadly gas. The container was put down next to one of the beds and the assassin broke its seal before swiftly slipping out through the door, closing it silently behind him as the gas seeped out from the container. Nobody saw or heard anything of your assassin, who quickly escaped out of the castle. The mission was a success!;À minuit, votre assassin est entré dans la chambre de [From.GetFirstName] avec un conteneur scellé de gaz mortel. Le conteneur a été posé à côté d'un des lits et l'assassin a brisé son sceau avant de se glisser rapidement dehors par la porte, la fermant silencieusement derrière lui alors que le gaz s'échappait du conteneur. Personne n'a vu ou entendu votre assassin, qui s'est rapidement échappé du château. La mission a été un succès !;Um Mitternacht schaffte es Euer Attentäter in die Gemächer von [From.GetFirstName] mit einem verschlossenen Behälter mit tödlichem Gas. Der Container wurde neben einem der Betten abgestellt und der Attentäter brach das Siegel auf, bevor er schnell durch die Tür hinausschlüpfte und sie leise hinter sich schloss, als das Gas aus dem Container austrat. Niemand sah oder hörte etwas von Eurem Attentäter, der schnell aus der Burg entkam. Die Mission war ein Erfolg!;;;;;;;;;;;x
EVTDESC_WCCLS_506_failed;In the middle of the night your assassin made his way to [From.GetFirstName]'s chamber with a sealed container of deadly gas. Your assassin, however, managed to damage it while climbing up over the castle walls. He soon felt weak and fell to the cold floor where he choked on the gas, which seeped from the container... Your assassin was found dead by guards on patrol in the early morning.;Au milieu de la nuit, votre assassin s'est rendu dans la chambre de [From.GetFirstName] avec un conteneur scellé de gaz mortel. Votre assassin, cependant, a réussi à l'endommager en grimpant sur les murs du château. Il s'est vite senti faible et est tombé sur le sol froid où il s'est étouffé avec le gaz, qui s'est échappé du conteneur... Votre assassin a été retrouvé mort par des gardes en patrouille au petit matin.;Mitten in der Nacht machte sich Euer Attentäter mit einem verschlossenen Behälter mit tödlichem Gas auf den Weg zu [From.GetFirstName]s Gemächern. Euer Attentäter schaffte es jedoch, den Behälter beim Klettern über die Burgmauern zu beschädigen. Er fühlte sich schon bald schwach und fiel auf den kalten Boden, wo er an dem Gas erstickte, das aus dem Behälter austrat... Euer Attentäter wurde am frühen Morgen von Wachen auf Streife tot aufgefunden.;;;;;;;;;;;x
EVTDESC_WCCLS_506_deadly;In the middle of the night your assassin made his way to [From.GetFirstName]'s chamber with sealed containers of gas. He placed one at the bedside and broke its seal before making a hasty retreat through the door as the gas seeped from the container. With the few extra containers he had, he thought it would please you, if he set them in the other nearby rooms to ensure [From.GetFirstName] perished to the poisonous gas.;Au milieu de la nuit, votre assassin s'est rendu dans la chambre de [From.GetFirstName] avec des conteneurs de gaz scellés. Il en a placé un au chevet de son lit et en a brisé le sceau avant de se précipiter vers la porte, le gaz s'échappant du conteneur. Avec les quelques conteneurs supplémentaires dont il disposait, il a pensé que cela vous ferait plaisir s'il les plaçait dans les autres chambres voisines pour s'assurer que [From.GetFirstName] périsse sous l'effet du gaz toxique.;Mitten in der Nacht machte sich Euer Attentäter mit verschlossenen Behältern mit tödlichem Gas auf den Weg zu [From.GetFirstName]s Gemächern. Er stellte Einen am Bett auf und brach sein Siegel auf, bevor er sich hastig durch die Tür zurückzog, als das Gas aus dem Container sickerte. Mit den zusätzlichen Behältern, die er hatte, dachte er, es würde Euch gefallen, wenn er sie in die anderen nahegelegenen Räume stellen würde, um sicherzustellen, dass [From.GetFirstName] an dem giftigen Gas stirbt.;;;;;;;;;;;x
has_not_been_target_3_years_tooltip;Has not been target of this decision in the last 3 years.\n;N'a pas été ciblé par cette décision au cours des 3 dernières années.\n;Wurde in den letzten 3 Jahren nicht zum Ziel dieser Entscheidung.;;;;;;;;;;;x
convert_to_scourge;Raise Undead Horde;Lever une armée des morts;Erweckt eine untote Horde;;;;;;;;;;;x
convert_to_scourge_desc;Forget about the peaceful life and change your government type to an Undead Horde with advanced CBs.;Oubliez la vie paisible et changez votre type de gouvernement en une horde de morts-vivants avec des casus belli avancés.;Vergesst das friedliche Leben und ändert Euren Regierungstyp in eine untote Horde mit erweiterten CBs.;;;;;;;;;;;x
convert_to_legion;Convene Demonic Legion;Former une légion démoniaque;Beruft die dämonische Legion ein;;;;;;;;;;;x
convert_to_legion_desc;Forget about the peaceful life and change your government type to a Demonic Legion with advanced CBs.;Oubliez la vie paisible et changez votre type de gouvernement en une légion démoniaque avec des casus belli avancés.;Vergesst das friedliche Leben und ändert euren Regierungstyp in eine dämonische Legion mit erweiterten CBs.;;;;;;;;;;;x
convert_to_black_pact;Adopt Black Pact;Adopter le Pacte noir;Schwarzen Pakt annehmen;;;;;;;;;;;x
convert_to_black_pact_desc;Forget about the peaceful life and change your government type to a Black Pact, a loyal pawn of the Old Gods with advanced CBs.;Oubliez la vie paisible et changez votre type de gouvernement en un Pacte noir, des pions fidèles aux Dieux très anciens, avec des casus belli avancés.;Vergesst das friedliche Leben und ändert euren Regierungstyp in einen schwarzen Pakt, als treuen Bauern der alten Götter mit erweiterten CBs.;;;;;;;;;;;x
convert_to_tribal_monarchy;Adopt Tribal Monarchy;Adopter la monarchie tribale;Stammesmonarchie übernehmen;;;;;;;;;;;x
convert_to_tribal_monarchy_desc;Adopting Tribal Monarchy will convert all your tribal holdings into castles. When this occurs - if the county is big enough - city and temple holdings will also be created if they do not already exist. Your vassals are likely to follow if they are of your religion and culture.;En adoptant la monarchie tribale, vous transformez toutes vos possessions tribales en châteaux. Lorsque cela se produira - si le comté est assez grand - des villes et des temples seront également créés s'ils n'existent pas encore. Vos vassaux vous suivront probablement s'ils partagent votre religion et votre culture.;Die Adoption der Stammesmonarchie verwandelt all Eure Stammesbesitztümer in Burgen. Wenn dies geschieht - wenn die Grafschaft groß genug ist - werden auch Stadt- und Tempelbesitztümer geschaffen, wenn sie nicht bereits existieren. Eure Vasallen werden wahrscheinlich folgen, wenn sie Eurer Religion und Kultur angehören.;;;;;;;;;;;x
unholy_architecture;Unholy Architecture;Architecture impie;Unheilige Architektur;;;;;;;;;;;x
EVTDESC_WCDRA_150_whelp;Most recently you have hatched from an egg, surrounded by the yapping of the other hatchlings of your dragonflight. You are still tiny, but dragons can grow up to colossal sizes. Perhaps, one day you may become the largest creature of your kind.;Tout récemment, vous avez éclos d'un œuf, entouré par les jappements des autres petits de votre vol draconique. Vous êtes encore tout petit, mais les dragons peuvent atteindre des tailles colossales. Peut-être qu'un jour vous deviendrez la plus grande créature de votre espèce.;Kürzlich seid Ihr aus einem Ei geschlüpft, umgeben vom Schnappen der anderen Schlüpflinge Eures Drachenschwarms. Ihr seid noch winzig, aber Drachen können zu kolossalen Größen heranwachsen. Vielleicht werdet Ihr eines Tages das größte Wesen Eurer Art werden.;;;;;;;;;;;x
EVTDESC_WCDRA_150_drake;Much time has passed since you hatched from the egg. Though now you can fly over the endless fields and forests of Azeroth and your form appears to be that of an adult dragon, but your kindred still disdain you.;Beaucoup de temps s'est écoulé depuis que vous êtes sorti de l'œuf. Bien que vous puissiez maintenant voler au-dessus des champs et forêts infinis d'Azeroth et que votre forme semble être celle d'un dragon adulte, vos semblables vous méprisent toujours.;Es ist viel Zeit vergangen, seit Ihr aus dem Ei geschlüpft seid. Obwohl Ihr jetzt über die endlosen Felder und Wälder von Azeroth fliegen könnt und Eure Gestalt wie die eines erwachsenen Drachens aussieht, verschmähen Eure Verwandten Euch dennoch.;;;;;;;;;;;x
EVTDESC_WCDRA_150_dragon;Not the first decade is under your belt, not many relatives can surpass you in wingspan and strength. Your size and graceful form instills fear and magnificence in the hearts of enemies and allies alike.;La première décennie s'achève et peu de vos semblables peuvent vous surpasser en envergure et en force. Votre taille et votre forme gracieuse inspirent la peur et la magnificence dans le cœur des ennemis comme des alliés.;Es ist nicht das erste Jahrzehnt, das Ihr durchlebt, nicht viele Verwandte können Euch in Flügelspannweite und Stärke übertreffen. Eure Größe und anmutige Form erzeugt Angst und Pracht in den Herzen von Feinden und Verbündeten gleichermaßen.;;;;;;;;;;;x
EVTDESC_WCDRA_150_wyrm;The kingdoms of the mortals were created and destroyed right in front of your eyes. The land is shaking under your paws. A flap of your wings can crook trees in several miles around you. Your enemies make a hasty retreat once your shadow covers them.;Les royaumes des mortels ont été créés et détruits sous vos yeux. La terre tremble sous vos pattes. Un battement d'aile peut tordre les arbres sur plusieurs kilomètres autour de vous. Vos ennemis battent en retraite précipitamment dès que votre ombre les recouvre.;Die Königreiche der Sterblichen wurden vor Euren Augen geschaffen und wieder zerstört. Das Land zittert unter Euren Pranken. Ein Flügelschlag kann Bäume in einem Umkreis von mehreren Meilen um Euch herum abknicken lassen. Eure Feinde ziehen sich hastig zurück, sobald Euer Schatten sie verdeckt.;;;;;;;;;;;x
EVTDESC_WCWAR_600;[From.GetTitledName], one of your neighbours is engaged in the bloody war against the forces of evil. Many encourage you to forget about all your disputes and quarrels and join the war immediately. If [From.PrimaryTitle.GetFullBaseName] falls, you will be next.;[From.GetTitledName], un de vos voisins est engagé dans une guerre sanglante contre les forces du Mal. Nombreux sont ceux qui vous encouragent à oublier vos disputes et querelles et à rejoindre la guerre immédiatement. Si [From.PrimaryTitle.GetFullBaseName] tombe, vous serez le prochain.;Einer Eurer Nachbarn ist in den blutigen Krieg gegen die Mächte des Bösen verwickelt. Viele ermutigen Euch, all Eure Streitigkeiten und Streitigkeiten zu vergessen und dem Krieg unverzüglich beizutreten. Wenn [From.PrimaryTitle.GetFullBaseName] fällt, werdet Ihr als Nächstes dran sein.;;;;;;;;;;;x
EVTOPTA_WCWAR_600;We will join the war!;Nous allons nous joindre à la guerre !;Wir werden uns dem Krieg anschließen!;;;;;;;;;;;x
EVTOPTB_WCWAR_600;No, it's too dangerous!;Non, c'est trop dangereux !;Nein, es ist zu gefährlich!;;;;;;;;;;;x
world_northrend_borean_tundra;Borean Tundra;Toundra Boréenne;Boreanische Tundra;;;;;;;;;;;x
world_northrend_sholazar_basin;Sholazar Basin;Bassin de Sholazar;Sholazarbecken;;;;;;;;;;;x
world_northrend_icecrown_glacier;Icecrown;La Couronne de glace;Eiskrone;;;;;;;;;;;x
world_northrend_isle_of_conquest;Isle of Conquest;Île des Conquérants;Insel der Eroberung;;;;;;;;;;;x
world_northrend_dragonblight;Dragonblight;Désolation des dragons;Drachenfluch;;;;;;;;;;;x
world_northrend_storm_peaks;Storm Peaks;Les Pics foudroyés;Sturmspitzen;;;;;;;;;;;x
world_northrend_grizzly_hills;Grizzly Hills;Les Grisonnes;Grizzlyhügel;;;;;;;;;;;x
world_northrend_howling_fjord;Howling Fjord;Fjord Hurlant;Heulender Fjord;;;;;;;;;;;x
world_northrend;Northrend;Norfendre;Northrend;;;;;;;;;;;x
EVTDESC_WCCOU_200_undead;You are dead, but you still have to worry about your heir, who will take your place if the dark magic can no longer bring you back into this world. [target_new_member.GetTitledFirstName] has become even more loyal after [From.GetHerHis] death. Among all the other dead, [target_new_member.GetSheHe] is the best candidate.;Vous êtes mort, mais vous devez encore vous préoccuper de votre héritier, qui prendra votre place si la magie noire ne peut plus vous ramener dans ce monde. [target_new_member.GetTitledFirstName] est devenu encore plus loyal après sa mort. Parmi tous les autres morts, [target_new_member.GetSheHe] est le meilleur candidat.;Ihr seid untot, aber Ihr müsst Euch immer noch um Euren Erben sorgen, der Euren Platz einnehmen wird, wenn die dunkle Magie Euch nicht mehr in diese Welt zurückbringen kann. [target_new_member.GetTitledFirstName] ist nach [From.GetHerHis]em Tod noch loyaler geworden. Unter all den anderen Untoten ist [target_new_member.GetSheHe] [target_new_member.Getderdie] beste Kandidat[target_new_member.GetinFemale].;;;;;;;;;;;x
EVTDESC_WCCOU_200_demon;Though your soul is formally immortal, you still need to worry about your heirs, who will continue your work if you do not return from the Twisting Nether. [target_new_member.GetTitledFirstName] would be the perfect candidate to lead your legions in the future.;Bien que votre âme soit normalement immortelle, vous devez toujours vous préoccuper de vos héritiers, qui poursuivront votre travail si vous ne revenez pas du Néant distordu. [target_new_member.GetTitledFirstName] serait le candidat idéal pour diriger vos légions dans le futur.;Obwohl Eure Seele formell unsterblich ist, müsst Ihr Euch immer noch um Eure Erben kümmern, die Eure Arbeit fortsetzen werden, wenn Ihr nicht aus dem wirbelnden Nether zurückkehrt. [target_new_member.GetTitledFirstName] wäre [target_new_member.Getderdie] perfekte Kandidat[target_new_member.GetinFemale], um Eure Legionen in der Zukunft zu führen.;;;;;;;;;;;x
EVTDESC_WCCOU_200_titanforged;The world is a dangerous place and accidents can happen, perhaps you could break down in combat or for other reasons, but there is a remedy to secure your legacy. [target_new_member.GetTitledFirstName] is a simple construct, but if you shared a part of your life spark with [target_new_member.GetHerHim], [target_new_member.GetSheHe] could carry on your legacy, should something happen to you.;Le monde est un endroit dangereux et des accidents peuvent se produire. Vous pourriez peut-être tomber au combat ou pour d'autres raisons, mais il existe un remède pour sécuriser votre héritage. [target_new_member.GetTitledFirstName] est une construction simple, mais si vous partagez une partie de votre étincelle de vie avec lui, il pourrait poursuivre votre héritage si quelque chose vous arrivait.;Die Welt ist ein gefährlicher Ort und es kann zu Unglücksfällen kommen. Ihr könntet im Kampf oder aus anderen Gründen zusammenbrechen, aber es gibt ein Mittel, um Euer Erbe zu sichern. [target_new_member.GetTitledFirstName] ist eine einfache Konstruktion, aber wenn Ihr einen Teil Eures Lebensfunkens mit [target_new_member.Getihmihr] teilt, könnte [target_new_member.GetSheHe] Euer Vermächtnis weiterführen, sollte Euch etwas passieren.;;;;;;;;;;;x
EVTDESC_WCCOU_200_void;Among all other creatures of the Void, there is one which has deserved your trust. Mortals call it [target_new_member.GetTitledFirstName]. When you will return to the darkness again, it will be able to take your place.;Parmi toutes les autres créatures du Vide, il en est une qui a mérité votre confiance. Les mortels l'appellent [target_new_member.GetTitledFirstName]. Lorsque vous retournerez dans les ténèbres, elle pourra prendre votre place.;Unter allen anderen Geschöpfen der Leere gibt es eines, das Euer Vertrauen verdient hat. Die Sterblichen nennen es [target_new_member.GetTitledFirstName]. Wenn Ihr wieder in die Dunkelheit zurückkehrt, wird es Euren Platz einnehmen können.;;;;;;;;;;;x
EVTDESC_WCCOU_200_other;[target_new_member.GetTitledFirstName] is the most loyal to your court. You cannot remember a single case where [target_new_member.GetSheHe] has let you down. Perhaps one day [target_new_member.GetSheHe] will be able to continue your work...;[target_new_member.GetTitledFirstName] est le plus fidèle de votre cour. Vous ne vous souvenez pas d'une seule affaire où [target_new_member.GetSheHe] vous a laissé tomber. Peut-être qu'un jour [target_new_member.GetSheHe] pourra continuer votre travail...;[target_new_member.GetTitledFirstName] ist [target_new_member.Getderdie] Loyalste an Eurem Hof. Ihr könnt Euch an keinen einzigen Fall erinnern, in dem [target_new_member.GetSheHe] Euch enttäuscht hat. Vielleicht kann [target_new_member.GetSheHe] eines Tages  Eure Arbeit fortsetzen...;;;;;;;;;;;x
EVTOPTA_WCCOU_200;[target_new_member.GetTitledFirstName] is a good choice.;[target_new_member.GetTitledFirstName] est un bon choix.;[target_new_member.GetTitledFirstName] ist eine gute Wahl.;;;;;;;;;;;x
EVTOPTB_WCCOU_200;[target_new_member.GetTitledFirstName]? Never!;[target_new_member.GetTitledFirstName] ? Jamais ![target_new_member.GetTitledFirstName]? Niemals!;[target_new_member.GetTitledFirstName]? Niemals!;;;;;;;;;;;x
light_mark_dec;Mark of [From.GetEluneLight];Marque de la [From.GetEluneLight];Zeichen [From.GetVonEluneDesLichts];;;;;;;;;;;x
light_mark_dec_desc;The magic of [From.GetEluneLight] makes living creatures stronger, but brings incredible pain to dark creatures.;La magie de la [From.GetEluneLight] rend les créatures vivantes plus fortes, mais transmet une douleur incroyable aux créatures obscures.;Die Magie von [From.GetEluneLight] macht lebende Kreaturen stärker, bringt aber unglaublichen Schmerz für dunkle Kreaturen.;;;;;;;;;;;x
EVTDESC_WCCLS_305_self;You feel how [target_priest.GetLightType] is shooting through your veins with every beat of the heart, strengthening your body and spirit.;Vous sentez comment [target_priest.GetLightType] tire dans vos veines à chaque battement de cœur, renforçant votre corps et votre esprit.;Ihr spürt, wie [target_priest.GetLightType] mit jedem Herzschlag durch Eure Venen jagt und Euren Körper und Geist stärkt.;;;;;;;;;;;x
EVTDESC_WCCLS_305_other;[target_priest.GetTitledFirstName] has granted you the blessing of [target_priest.GetEluneLight]. You feel how [target_priest.GetLightType] is pulsating through your veins with every beat of the heart, strengthening your body and spirit.;[target_priest.GetTitledFirstName] vous a accordé la bénédiction d'[target_priest.GetEluneLight]. Vous sentez comment [target_priest.GetLightType] bat dans vos veines à chaque battement de cœur, renforçant votre corps et votre esprit.;[target_priest.GetTitledFirstName] hat Euch den Segen von [target_priest.GetEluneLight] gewährt. Ihr spürt, wie [target_priest.GetLightType] mit jedem Herzschlag durch Eure Venen jagt und Euren Körper und Geist stärkt.;;;;;;;;;;;x
EVTDESC_WCCLS_305_bad;Damned [FromFrom.GetFirstName] has cursed your body with the Light. Streams of the holy energy penetrate you like stakes, tearing you from the inside and bringing an unbearable pain.;[FromFrom.GetFirstName] a maudit votre corps avec la Lumière. Des flots d'énergie sacrée vous pénètrent comme des pieux, vous déchirent de l'intérieur et vous apportent une douleur insupportable.;[FromFrom.GetDerDie] verdammte [FromFrom.GetFirstName] hat Euren Körper mit dem Licht verflucht. Ströme der heiligen Energie durchdringen Euch wie Stacheln, reißen Euch von innen auseinander und bringen unerträglichen Schmerz.;;;;;;;;;;;x
light_mark_good;Mark of Light;Marque de la Lumière;Zeichen des Lichts;;;;;;;;;;;x
light_mark_good_desc;This character has received the blessing of the Light.;Ce personnage a reçu la bénédiction de la Lumière.;Dieser Charakter hat den Segen des Lichts erhalten.;;;;;;;;;;;x
light_mark_bad;Mark of Light;Marque de la Lumière;Zeichen des Lichts;;;;;;;;;;;x
light_mark_bad_desc;This character has received the mark of Light. The magic of the Light brings incredible pain to dark creatures.;Ce personnage a reçu la bénédiction de la Lumière. La magie de la Lumière transmet une douleur incroyable aux créatures obscures.;Dieser Charakter hat das Zeichen des Lichts erhalten. Die Magie des Lichts bringt den dunklen Kreaturen unglaublichen Schmerz.;;;;;;;;;;;x
drive_crazy;Drive Mad;Rendre fou;Wahnsinnig machen;;;;;;;;;;;x
drive_crazy_desc;Use Void magic to drive this character mad.;Utilisez la magie du Vide pour rendre ce personnage fou.;Benutzt die Magie der Leere um diesen Charakter in den Wahnsinn zu treiben.;;;;;;;;;;;x
EVTDESC_WCCLS_1205_success;[target_crazy.GetTitledFirstName] could not resist the power of the Void. Like many others, [target_crazy.GetSheHe] fell into a spiral of dark thoughts inspired by you.;[target_crazy.GetTitledFirstName] n'a pas pu résister au pouvoir du Vide. Comme beaucoup d'autres, [target_crazy.GetSheHe] est tombé dans une spirale de pensées sombres que vous lui avez inspirées.;[target_crazy.GetTitledFirstName] konnte der Macht der Leere nicht widerstehen. Wie viele andere fiel auch [target_crazy.GetSheHe] in eine Spirale aus dunklen Gedanken, die von Euch inspiriert wurden.;;;;;;;;;;;x
EVTDESC_WCCLS_1205_fail;Not many can resist the dark magic of the Void. Despite all of your efforts, [target_crazy.GetTitledFirstName] found the strength to ward off all the dark thoughts.;Peu de gens peuvent résister à la magie noire du Vide. Malgré tous vos efforts, [target_crazy.GetTitledFirstName] a trouvé la force de repousser toutes les pensées noires.;Nicht viele können der dunklen Magie der Leere widerstehen. Trotz all Eurer Bemühungen fand [target_crazy.GetTitledFirstName] die Kraft, alle finsteren Gedanken abzuwehren.;;;;;;;;;;;x
EVTDESC_WCCLS_1205_epic_fail;You wanted to turn the Void against your enemies, but it spares no one. Darkness has crept into your mind and turned your thoughts inside out. The last scraps of your mind slowly leave you, while you sink deeper and deeper into the abyss of madness.;Vous vouliez retourner le Vide contre vos ennemis, mais il n'épargne personne. L'obscurité s'est glissée dans votre esprit et a retourné vos pensées. Les derniers fragments de votre esprit vous quittent lentement, tandis que vous vous enfoncez de plus en plus profondément dans l'abîme de la folie.;Ihr wolltet die Leere gegen Eure Feinde einsetzen, aber sie verschont niemanden. Die Dunkelheit hat sich in Euren Geist eingeschlichen und Eure Gedanken von Grund auf verzerrt. Die letzten Reste Eures Geistes verlassen Euch langsam, während Ihr immer tiefer und tiefer in den Abgrund des Wahnsinns versinkt.;;;;;;;;;;;x
SHUT_UP;Shut up!;Silence !;Ruhe!;;;;;;;;;;;x
EVTDESC_WCCLS_1206;You do not understand what is happening to you. Every time you are alone, you see previous events of your life, all of them differing from each other. The regrets of your past torment you, while the voice in your head whispers terrifying prophecies.;Vous ne comprenez pas ce qui vous arrive. Chaque fois que vous êtes seul, vous voyez des évènements antérieurs de votre vie, tous différents les uns des autres. Les regrets de votre passé vous tourmentent, tandis que la voix dans votre tête murmure des prophéties terrifiantes.;Ihr versteht nicht, was mit Euch passiert. Jedes Mal, wenn Ihr allein seid, seht Ihr frühere Ereignisse Eures Lebens, die sich alle voneinander unterscheiden. Das Leid Eurer Vergangenheit quält Euch, während die Stimme in Eurem Kopf schreckliche Prophezeiungen flüstert.;;;;;;;;;;;x
bad_voodoo;Bad Voodoo;Mauvais vaudou;Böser Voodoo;;;;;;;;;;;x
