#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
creature_human;Human;Humain;Mensch;;;;;;;;;;;x
tentacle_arm_mutation;Tentacle-arm;Bras-tentacule;Tentakelarm;;;;;;;;;;;x
tentacle_arm_mutation_desc;One of this character's arms is turned into a long slimy tentacle by magic of the old gods.;;Einer der Arme dieses Charakters ist durch die Magie der alten Götter in einen langen, schleimigen Tentakel verwandelt worden.;;;;;;;;;;;x
chela_hand_mutation;Claw-hand;Main-griffe;Klauenhand;;;;;;;;;;;x
chela_hand_mutation_desc;Under the influence of the Old Gods, one of the hands of this character transformed into the huge claw.;;Unter dem Einfluss der Magie der alten Götter wurde eine Hand dieses Charakters in eine mächtige, chitingeschützte Klauenhand verwandelt.;;;;;;;;;;;x
chitinous_growths_mutation;Chitinous Growth;Excroissance chitineuse;Chitinauswüchse;;;;;;;;;;;x
chitinous_growths_mutation_desc;Under the influence of the Old Gods, the body of this character has covered with the chitinious growths.;;Unter dem Einfluss der Magie der alten Götter wurde der Körper dieses Charakters von chitinösen Wucherungen bedeckt.;;;;;;;;;;;x
spikes_mutation;Spikes;Pointes;Stacheln;;;;;;;;;;;x
spikes_mutation_desc;Under the influence of the Old Gods, sharp chitinious spikes grown from the body of this character.;;Unter dem Einfluss der Magie der alten Götter wuchsen aus dem Körper dieses Charakters scharfe, chitinöse Stacheln.;;;;;;;;;;;x
scales_mutation;Scales;Écailles;Schuppen;;;;;;;;;;;x
scales_mutation_desc;Under the influence of the Old Gods, the body of this character has covered with slimy scale in some places.;;Unter dem Einfluss der Magie der alten Götter wurde der Körper dieses Charakters an einigen Stellen mit schleimigen Schuppen bedeckt.;;;;;;;;;;;x
eyes_mutation;Multiple Eyes;Yeux multiples;Mehrere Augen;;;;;;;;;;;x
eyes_mutation_desc;Under the influence of the Old Gods the body of this character has covered with frightening eyes.;;Unter dem Einfluss der Magie der alten Götter hat sich der Körper dieser Figur mit furchterregenden Augen bedeckt.;;;;;;;;;;;x
creature_nraqi;N'raqi;N'raqi;N'raqi;;;;;;;;;;;x
creature_nraqi_desc;This character is n'raqi. N'raqi, of the faceless ones, are a monstrous race that arose from the organic matter that seeped from the Old Gods' blighted forms during the primordial era of Azeroth. N'raqi are very insidious and cruel, their uncanny forms, resembling something between a mollusk and an insect, can plunge into shock every mortal creature.;;Dieser Charakter ist ein N'raqi. N'raqi, von den Gesichtslosen, sind eine monströse Rasse, die aus der organischen Substanz entstand, die während der Urzeit Azeroths aus den verdorbenen Formen der alten Götter sickerte. N'raqi sind äußerst heimtückisch und grausam, ihre unheimlichen Formen, die etwas zwischen einer Muschel und einem Insekt ähneln, können jede sterbliche Kreatur in Schock versetzen.;;;;;;;;;;;x
creature_cthraxxi;C'thraxxi;C'thraxxi;C'thraxxi;;;;;;;;;;;x
creature_cthraxxi_desc;This character is C'Thrax. C'Thraxxi are monstrous warbringers far larger and more resilient than other lesser faceless ones. These tremendous horrific creatures are even able to control minions of their Lords when they need it.;;Dieser Charakter ist ein C'Thrax. C'Thraxxi sind monströse Kriegstreiber, die weitaus größer und widerstandsfähiger sind als andere geringere Gesichtslose. Diese gewaltigen, schrecklichen Kreaturen sind sogar in der Lage, die Diener ihrer Herren zu kontrollieren, wenn es nötig ist.;;;;;;;;;;;x
subclass_dark_shaman;Dark Shaman;Sombre chaman;Dunkler Schamane;;;;;;;;;;;x
subclass_dark_shaman_desc;This character is a dark shaman: one of those who enslaved and corrupted the elements with power of the void or Fel magic.;;Dieser Charakter ist ein dunkler Schamane: einer derjenigen, die die Elemente mit der Kraft der Leere oder Fel-Magie versklavt und verdorben haben.;;;;;;;;;;;x
vampire;Vampire;Vampire;Vampir;;;;;;;;;;;x
vampire_desc;This character is a vampire.;Ce personnage est un vampire.;Dieser Charakter ist ein Vampir.;;;;;;;;;;;x
sleeping_trait;Sleeping;Endormi;Schlafend;;;;;;;;;;;x
sleeping_trait_desc;This character is in a deep sleep.;Ce personnage est dans un profond sommeil.;Dieser Charakter ist in tiefen Schlaf gefallen.;;;;;;;;;;;x
worgen;Worgen;Worgen;Worgen;;;;;;;;;;;x
worgen_desc;This character has been affected by the worgen curse.;;Dieser Charakter ist vom Worgen-Fluch befallen.;;;;;;;;;;;x
mindless_worgen;Mindless;;Hirnlos;;;;;;;;;;;x
mindless_worgen_desc;This character has lost its mind in the abyss of animal rage and guilt.;;Dieser Charakter hat [From.GetHerHis]en Verstand am Abgrund zwischen animalischer Wut und Schuld verloren.;;;;;;;;;;;x
creature_night_elf;Night Elf;Elfe de la nuit;Nachtelf;;;;;;;;;;;x
creature_night_elf_desc;This character is a night elf.;Ce personnage est un elfe de la nuit.;Dieser Charakter ist ein Nachtelf.;;;;;;;;;;;x
lost_corporeal_body;Lost Corporeal Body;Enveloppe corporelle perdue;Verlust des körperlichen Leibes;;;;;;;;;;;x
lost_corporeal_body_desc;This lich has lost its corporeal body and now waiting for its regeneration.;Cette liche a perdue son enveloppe corporelle et attend désormais sa régénération.;Dieser Lich hat seinen körperlichen Leib verloren und wartet nun auf seine Regeneration.;;;;;;;;;;;x
creature_red_whelp;Red Whelp;Dragonnet rouge;Roter Welpe;;;;;;;;;;;x
creature_red_whelp_desc;Dragon whelps are the smallest member of the dragonkin species, representing the offspring of a brood. As a result, they are easily the weakest variation of dragons. In most cases, however, where there are whelps, their larger cousins are close by.\n\nRed dragons once ruled as lords over all dragonkind. This nobility is reflected in every aspect of a red dragon, from its proud demeanor to its aura - one that inspires awe. It is as debilitating as the terrifying presence that other dragons possess, except that it overwhelms with a beatific aura. Red dragons exemplify the serenity of life and nature. Legends hold that the earth is renewed wherever a red dragon walks upon the earth or burns the soil with its flaming breath. Although they use fire to protect and punish, the flames always give way to new life.;;Drachenwelpen sind die kleinsten Mitglieder der Drachenart und stellen die Nachkommen einer Brut dar. Infolgedessen sind sie mit Abstand die schwächste Variante von Drachen. In den meisten Fällen, wo es Welpen gibt, sind ihre größeren Cousins jedoch in der Nähe.\n\nDie roten Drachen regierten einst als Herren über die gesamte Drachenart. Dieser Adel spiegelt sich in jedem Aspekt eines roten Drachens wider, von seinem stolzen Auftreten bis hin zu seiner Ehrfurcht gebietenden Aura. Es ist so lähmend wie die erschreckende Gegenwart anderer Drachen, nur dass sie mit einer seligen Aura überwältigen. Rote Drachen veranschaulichen die Ruhe des Lebens und der Natur. Legenden behaupten, dass die Erde erneuert wird, wo immer ein roter Drache auf der Erde wandelt oder den Boden mit seinem flammenden Atem verbrennt. Obwohl sie Feuer zum Schutz und zur Bestrafung benutzen, machen die Flammen immer wieder Platz für neues Leben.;;;;;;;;;;;x
creature_red_drake;Red Drake;Drake rouge;Roter Drachling;;;;;;;;;;;x
creature_red_drake_desc;Drakes are dragons that are still relatively young in comparison to their ancient brethren.\n\nRed dragons once ruled as lords over all dragonkind. This nobility is reflected in every aspect of a red dragon, from its proud demeanor to its aura - one that inspires awe. It is as debilitating as the terrifying presence that other dragons possess, except that it overwhelms with a beatific aura. Red dragons exemplify the serenity of life and nature. Legends hold that the earth is renewed wherever a red dragon walks upon the earth or burns the soil with its flaming breath. Although they use fire to protect and punish, the flames always give way to new life.;;Drachlinge sind Drachen, die im Vergleich zu ihren alten Brüdern noch relativ jung sind.\n\nDie roten Drachen regierten einst als Herren über die gesamte Drachenart. Dieser Adel spiegelt sich in jedem Aspekt eines roten Drachens wider, von seinem stolzen Auftreten bis hin zu seiner Ehrfurcht gebietenden Aura. Es ist so lähmend wie die erschreckende Gegenwart anderer Drachen, nur dass sie mit einer seligen Aura überwältigen. Rote Drachen veranschaulichen die Ruhe des Lebens und der Natur. Legenden behaupten, dass die Erde erneuert wird, wo immer ein roter Drache auf der Erde wandelt oder den Boden mit seinem flammenden Atem verbrennt. Obwohl sie Feuer zum Schutz und zur Bestrafung benutzen, machen die Flammen immer wieder Platz für neues Leben.;;;;;;;;;;;x
creature_red_dragon;Red Dragon;Dragon rouge;Roter Drache;;;;;;;;;;;x
creature_red_dragon_desc;Dragon is both the name for the race as a whole and the short title for the mature-aged dragon.\n\nRed dragons once ruled as lords over all dragonkind. This nobility is reflected in every aspect of a red dragon, from its proud demeanor to its aura - one that inspires awe. It is as debilitating as the terrifying presence that other dragons possess, except that it overwhelms with a beatific aura. Red dragons exemplify the serenity of life and nature. Legends hold that the earth is renewed wherever a red dragon walks upon the earth or burns the soil with its flaming breath. Although they use fire to protect and punish, the flames always give way to new life.;;Drache ist sowohl der Name für die gesamte Rasse als auch der Kurztitel für den reifen Drachen.\n\nDie roten Drachen regierten einst als Herren über die gesamte Drachenart. Dieser Adel spiegelt sich in jedem Aspekt eines roten Drachens wider, von seinem stolzen Auftreten bis hin zu seiner Ehrfurcht gebietenden Aura. Es ist so lähmend wie die erschreckende Gegenwart anderer Drachen, nur dass sie mit einer seligen Aura überwältigen. Rote Drachen veranschaulichen die Ruhe des Lebens und der Natur. Legenden behaupten, dass die Erde erneuert wird, wo immer ein roter Drache auf der Erde wandelt oder den Boden mit seinem flammenden Atem verbrennt. Obwohl sie Feuer zum Schutz und zur Bestrafung benutzen, machen die Flammen immer wieder Platz für neues Leben.;;;;;;;;;;;x
creature_red_wyrm;Red Wyrm;Wyrm rouge;Roter Wyrm;;;;;;;;;;;x
creature_red_wyrm_desc;Wyrm is the elder stage of the dragon life cycle.\n\nRed dragons once ruled as lords over all dragonkind. This nobility is reflected in every aspect of a red dragon, from its proud demeanor to its aura - one that inspires awe. It is as debilitating as the terrifying presence that other dragons possess, except that it overwhelms with a beatific aura. Red dragons exemplify the serenity of life and nature. Legends hold that the earth is renewed wherever a red dragon walks upon the earth or burns the soil with its flaming breath. Although they use fire to protect and punish, the flames always give way to new life.;;Die ältesten Drachen werden Wyrme genannt.\n\nDie roten Drachen regierten einst als Herren über die gesamte Drachenart. Dieser Adel spiegelt sich in jedem Aspekt eines roten Drachens wider, von seinem stolzen Auftreten bis hin zu seiner Ehrfurcht gebietenden Aura. Es ist so lähmend wie die erschreckende Gegenwart anderer Drachen, nur dass sie mit einer seligen Aura überwältigen. Rote Drachen veranschaulichen die Ruhe des Lebens und der Natur. Legenden behaupten, dass die Erde erneuert wird, wo immer ein roter Drache auf der Erde wandelt oder den Boden mit seinem flammenden Atem verbrennt. Obwohl sie Feuer zum Schutz und zur Bestrafung benutzen, machen die Flammen immer wieder Platz für neues Leben.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
creature_blue_whelp;Blue Whelp;Dragonnet bleu;Blauer Welpe;;;;;;;;;;;x
creature_blue_whelp_desc;Dragon whelps are the smallest member of the dragonkin species, representing the offspring of a brood. As a result, they are easily the weakest variation of dragons. In most cases however, where there are whelps, their larger cousins are close by.\n\nBlue dragons are regal creatures, their posture and facial expressions expressing wisdom and intellect. They are creatures of ice and water, often found in cold regions and preferring to keep to themselves. They are studious, enjoying both literature and scholarly texts, and study any bit of knowledge or trivia that they come across. These dragons are best known for altering their forms and integrating into other societies in order to learn new technologies, spells, and crafts. Blue dragons are peaceful creatures, but very territorial. Once a blue dragon has claimed a certain territory, woe to any - even dragons of their own flight - who enter into that area without permission. The mighty dragon bursts from the frigid waters, its muscular form covered in glistening scales. It has patterned cobalt markings across its neck and upper body, and its wings fold almost invisibly against its sinuous body.;;Drachenwelpen sind die kleinsten Mitglieder der Drachenart und stellen die Nachkommen einer Brut dar. Infolgedessen sind sie mit Abstand die schwächste Variante von Drachen. In den meisten Fällen, wo es Welpen gibt, sind ihre größeren Cousins jedoch in der Nähe.\n\nBlaue Drachen sind königliche Kreaturen, deren Haltung und Mimik Weisheit und Intellekt zum Ausdruck bringen. Sie sind Kreaturen des Eises und des Wassers, die oft in kalten Regionen zu finden sind und es vorziehen, sich zurück zu halten. Sie sind lernbegierig, genießen sowohl Literatur als auch wissenschaftliche Texte und studieren jedes Wissen oder jede Art von Gerüchten, die ihnen begegnen. Diese Drachen sind am bekanntesten dafür, ihre Gestalt zu verändern und sich in andere Gesellschaften zu integrieren, um neue Technologien, Zauber und Handwerke zu erlernen. Blaue Drachen sind friedliche Kreaturen, aber sehr territorial. Sobald ein blauer Drache ein bestimmtes Gebiet beansprucht hat, wehe dem - auch den Drachen ihres eigenen Schwarms - der dieses Gebiet ohne Erlaubnis betritt. Der mächtige Drache bricht aus dem kalten Wasser hervor, seine muskulöse Form ist von glitzernden Schuppen bedeckt. Er trägt an Hals und Oberkörper kobaltfarbene Muster und seine Flügel falten sich fast unsichtbar gegen seinen gewundenen Körper.;;;;;;;;;;;x
creature_blue_drake;Blue Drake;Drake azur;Blauer Drachling;;;;;;;;;;;x
creature_blue_drake_desc;Drakes are dragons that are still relatively young in comparison to their ancient brethren.\n\nBlue dragons are regal creatures, their posture and facial expressions expressing wisdom and intellect. They are creatures of ice and water, often found in cold regions and preferring to keep to themselves. They are studious, enjoying both literature and scholarly texts, and study any bit of knowledge or trivia that they come across. These dragons are best known for altering their forms and integrating into other societies in order to learn new technologies, spells, and crafts. Blue dragons are peaceful creatures, but very territorial. Once a blue dragon has claimed a certain territory, woe to any - even dragons of their own flight - who enter into that area without permission. The mighty dragon bursts from the frigid waters, its muscular form covered in glistening scales. It has patterned cobalt markings across its neck and upper body, and its wings fold almost invisibly against its sinuous body.;;Drachlinge sind Drachen, die im Vergleich zu ihren alten Brüdern noch relativ jung sind.\n\nBlaue Drachen sind königliche Kreaturen, deren Haltung und Mimik Weisheit und Intellekt zum Ausdruck bringen. Sie sind Kreaturen des Eises und des Wassers, die oft in kalten Regionen zu finden sind und es vorziehen, sich zurück zu halten. Sie sind lernbegierig, genießen sowohl Literatur als auch wissenschaftliche Texte und studieren jedes Wissen oder jede Art von Gerüchten, die ihnen begegnen. Diese Drachen sind am bekanntesten dafür, ihre Gestalt zu verändern und sich in andere Gesellschaften zu integrieren, um neue Technologien, Zauber und Handwerke zu erlernen. Blaue Drachen sind friedliche Kreaturen, aber sehr territorial. Sobald ein blauer Drache ein bestimmtes Gebiet beansprucht hat, wehe dem - auch den Drachen ihres eigenen Schwarms - der dieses Gebiet ohne Erlaubnis betritt. Der mächtige Drache bricht aus dem kalten Wasser hervor, seine muskulöse Form ist von glitzernden Schuppen bedeckt. Er trägt an Hals und Oberkörper kobaltfarbene Muster und seine Flügel falten sich fast unsichtbar gegen seinen gewundenen Körper.;;;;;;;;;;;x
creature_blue_dragon;Blue Dragon;Dragon azur;Blauer Drache;;;;;;;;;;;x
creature_blue_dragon_desc;Dragon is both the name for the race as a whole and the short title for the mature-aged dragon.\n\nBlue dragons are regal creatures, their posture and facial expressions expressing wisdom and intellect. They are creatures of ice and water, often found in cold regions and preferring to keep to themselves. They are studious, enjoying both literature and scholarly texts, and study any bit of knowledge or trivia that they come across. These dragons are best known for altering their forms and integrating into other societies in order to learn new technologies, spells, and crafts. Blue dragons are peaceful creatures, but very territorial. Once a blue dragon has claimed a certain territory, woe to any - even dragons of their own flight - who enter into that area without permission. The mighty dragon bursts from the frigid waters, its muscular form covered in glistening scales. It has patterned cobalt markings across its neck and upper body, and its wings fold almost invisibly against its sinuous body.;;Drache ist sowohl der Name für die gesamte Rasse als auch der Kurztitel für den reifen Drachen.\n\nBlaue Drachen sind königliche Kreaturen, deren Haltung und Mimik Weisheit und Intellekt zum Ausdruck bringen. Sie sind Kreaturen des Eises und des Wassers, die oft in kalten Regionen zu finden sind und es vorziehen, sich zurück zu halten. Sie sind lernbegierig, genießen sowohl Literatur als auch wissenschaftliche Texte und studieren jedes Wissen oder jede Art von Gerüchten, die ihnen begegnen. Diese Drachen sind am bekanntesten dafür, ihre Gestalt zu verändern und sich in andere Gesellschaften zu integrieren, um neue Technologien, Zauber und Handwerke zu erlernen. Blaue Drachen sind friedliche Kreaturen, aber sehr territorial. Sobald ein blauer Drache ein bestimmtes Gebiet beansprucht hat, wehe dem - auch den Drachen ihres eigenen Schwarms - der dieses Gebiet ohne Erlaubnis betritt. Der mächtige Drache bricht aus dem kalten Wasser hervor, seine muskulöse Form ist von glitzernden Schuppen bedeckt. Er trägt an Hals und Oberkörper kobaltfarbene Muster und seine Flügel falten sich fast unsichtbar gegen seinen gewundenen Körper.;;;;;;;;;;;x
creature_blue_wyrm;Blue Wyrm;Wyrm azure;Blauer Wyrm;;;;;;;;;;;x
creature_blue_wyrm_desc;Wyrm is the elder stage of the dragon life cycle.\n\nBlue dragons are regal creatures, their posture and facial expressions expressing wisdom and intellect. They are creatures of ice and water, often found in cold regions and preferring to keep to themselves. They are studious, enjoying both literature and scholarly texts, and study any bit of knowledge or trivia that they come across. These dragons are best known for altering their forms and integrating into other societies in order to learn new technologies, spells, and crafts. Blue dragons are peaceful creatures, but very territorial. Once a blue dragon has claimed a certain territory, woe to any - even dragons of their own flight - who enter into that area without permission. The mighty dragon bursts from the frigid waters, its muscular form covered in glistening scales. It has patterned cobalt markings across its neck and upper body, and its wings fold almost invisibly against its sinuous body.;;Die ältesten Drachen werden Wyrme genannt.\n\nBlaue Drachen sind königliche Kreaturen, deren Haltung und Mimik Weisheit und Intellekt zum Ausdruck bringen. Sie sind Kreaturen des Eises und des Wassers, die oft in kalten Regionen zu finden sind und es vorziehen, sich zurück zu halten. Sie sind lernbegierig, genießen sowohl Literatur als auch wissenschaftliche Texte und studieren jedes Wissen oder jede Art von Gerüchten, die ihnen begegnen. Diese Drachen sind am bekanntesten dafür, ihre Gestalt zu verändern und sich in andere Gesellschaften zu integrieren, um neue Technologien, Zauber und Handwerke zu erlernen. Blaue Drachen sind friedliche Kreaturen, aber sehr territorial. Sobald ein blauer Drache ein bestimmtes Gebiet beansprucht hat, wehe dem - auch den Drachen ihres eigenen Schwarms - der dieses Gebiet ohne Erlaubnis betritt. Der mächtige Drache bricht aus dem kalten Wasser hervor, seine muskulöse Form ist von glitzernden Schuppen bedeckt. Er trägt an Hals und Oberkörper kobaltfarbene Muster und seine Flügel falten sich fast unsichtbar gegen seinen gewundenen Körper.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
creature_green_whelp;Green Whelp;Dragonnet émeraude;Grüner Welpe;;;;;;;;;;;x
creature_green_whelp_desc;Dragon whelps are the smallest member of the dragonkin species, representing the offspring of a brood. As a result, they are easily the weakest variation of dragons. In most cases however, where there are whelps, their larger cousins are close by.\n\nGreen dragons are rare creatures, not often seen on the physical plane. They are creatures of dream and make their home on the plane of the Emerald Dream. This plane is not just a place of dream crafting, but an immense verdant realm of unspoiled paradise. Other flights often call greens "brothers and sisters of dream" in respect to the realm from which they hail. The dragon has translucent, jewel-like scales that shine with a faint green light. Its eyes are glowing orbs of green-gold light, with no pupils or irises. Its sinuous and shining form flies through the air as if swimming through water. Green dragons have no enemies in the Emerald Dream, but they know that the world of Azeroth is not as lucky or as peaceful. They are capable of fighting, but choose not to if there is any option other than their own death. If conflict is unavoidable, they try to neutralize foes with their breath and leave the area. Some consider green dragons to be pacifists or weaklings. Those who have roused a green to combat fast learn the error of this opinion. After all, dreams and nightmares are not so very different.;;Drachenwelpen sind die kleinsten Mitglieder der Drachenart und stellen die Nachkommen einer Brut dar. Infolgedessen sind sie mit Abstand die schwächste Variante von Drachen. In den meisten Fällen, wo es Welpen gibt, sind ihre größeren Cousins jedoch in der Nähe.\n\nGrüne Drachen sind seltene Kreaturen, die nicht oft auf der körperlichen Ebene zu beobachten sind. Sie sind Kreaturen des Traums und finden ihr Zuhause auf der Ebene des smaragdgrünen Traums. Diese Ebene ist nicht nur ein Ort der Traumkunst, sondern ein riesiges grünes Reich des unverdorbenen Paradieses. Andere Schwärme nennen die Grünen oft Brüder und Schwestern des Traums, wegen des Reiches, aus dem sie stammen. Der grüne Drache hat durchscheinende, juwelenartige Schuppen, die von einem schwachen grünen Licht erstrahlen. Seine Augen sind leuchtende Kugeln aus grün-goldenem Licht, ohne Pupillen oder Iris. Seine gewundene und glänzende Form fliegt durch die Luft, als würde er durch Wasser schwimmen. Grüne Drachen haben im smaragdgrünen Traum keine Feinde, aber sie wissen, dass die Welt von Azeroth nicht so glücklich oder friedlich ist. Sie sind durchaus in der Lage zu kämpfen, aber sie entscheiden sich für gewöhnlich dagegen, wenn es eine andere Möglichkeit als ihren eigenen Tod gibt. Wenn ein Konflikt unvermeidlich ist, versuchen sie, die Feinde mit ihrem Atem zu neutralisieren und das Gebiet zu verlassen. Einige betrachten grüne Drachen als Pazifisten oder Schwächlinge. Diejenigen, die einen Gründrachen aufgescheucht haben, um zu kämpfen, erkennen schnell den Irrtum. Schließlich sind Träume und Alpträume nicht so sehr verschieden.;;;;;;;;;;;x
creature_green_drake;Green Drake;Drake émeraude;Grüner Drachling;;;;;;;;;;;x
creature_green_drake_desc;Drakes are dragons that are still relatively young in comparison to their ancient brethren.\n\nGreen dragons are rare creatures, not often seen on the physical plane. They are creatures of dream and make their home on the plane of the Emerald Dream. This plane is not just a place of dream crafting, but an immense verdant realm of unspoiled paradise. Other flights often call greens "brothers and sisters of dream" in respect to the realm from which they hail. The dragon has translucent, jewel-like scales that shine with a faint green light. Its eyes are glowing orbs of green-gold light, with no pupils or irises. Its sinuous and shining form flies through the air as if swimming through water. Green dragons have no enemies in the Emerald Dream, but they know that the world of Azeroth is not as lucky or as peaceful. They are capable of fighting, but choose not to if there is any option other than their own death. If conflict is unavoidable, they try to neutralize foes with their breath and leave the area. Some consider green dragons to be pacifists or weaklings. Those who have roused a green to combat fast learn the error of this opinion. After all, dreams and nightmares are not so very different.;;Drachlinge sind Drachen, die im Vergleich zu ihren alten Brüdern noch relativ jung sind.\n\nGrüne Drachen sind seltene Kreaturen, die nicht oft auf der körperlichen Ebene zu beobachten sind. Sie sind Kreaturen des Traums und finden ihr Zuhause auf der Ebene des smaragdgrünen Traums. Diese Ebene ist nicht nur ein Ort der Traumkunst, sondern ein riesiges grünes Reich des unverdorbenen Paradieses. Andere Schwärme nennen die Grünen oft Brüder und Schwestern des Traums, wegen des Reiches, aus dem sie stammen. Der grüne Drache hat durchscheinende, juwelenartige Schuppen, die von einem schwachen grünen Licht erstrahlen. Seine Augen sind leuchtende Kugeln aus grün-goldenem Licht, ohne Pupillen oder Iris. Seine gewundene und glänzende Form fliegt durch die Luft, als würde er durch Wasser schwimmen. Grüne Drachen haben im smaragdgrünen Traum keine Feinde, aber sie wissen, dass die Welt von Azeroth nicht so glücklich oder friedlich ist. Sie sind durchaus in der Lage zu kämpfen, aber sie entscheiden sich für gewöhnlich dagegen, wenn es eine andere Möglichkeit als ihren eigenen Tod gibt. Wenn ein Konflikt unvermeidlich ist, versuchen sie, die Feinde mit ihrem Atem zu neutralisieren und das Gebiet zu verlassen. Einige betrachten grüne Drachen als Pazifisten oder Schwächlinge. Diejenigen, die einen Gründrachen aufgescheucht haben, um zu kämpfen, erkennen schnell den Irrtum. Schließlich sind Träume und Alpträume nicht so sehr verschieden.;;;;;;;;;;;x
creature_green_dragon;Green Dragon;Dragon émeraude;Grüner Drache;;;;;;;;;;;x
creature_green_dragon_desc;Dragon is both the name for the race as a whole and the short title for the mature-aged dragon.\n\nGreen dragons are rare creatures, not often seen on the physical plane. They are creatures of dream and make their home on the plane of the Emerald Dream. This plane is not just a place of dream crafting, but an immense verdant realm of unspoiled paradise. Other flights often call greens "brothers and sisters of dream" in respect to the realm from which they hail. The dragon has translucent, jewel-like scales that shine with a faint green light. Its eyes are glowing orbs of green-gold light, with no pupils or irises. Its sinuous and shining form flies through the air as if swimming through water. Green dragons have no enemies in the Emerald Dream, but they know that the world of Azeroth is not as lucky or as peaceful. They are capable of fighting, but choose not to if there is any option other than their own death. If conflict is unavoidable, they try to neutralize foes with their breath and leave the area. Some consider green dragons to be pacifists or weaklings. Those who have roused a green to combat fast learn the error of this opinion. After all, dreams and nightmares are not so very different.;;Drache ist sowohl der Name für die gesamte Rasse als auch der Kurztitel für den reifen Drachen.\n\nGrüne Drachen sind seltene Kreaturen, die nicht oft auf der körperlichen Ebene zu beobachten sind. Sie sind Kreaturen des Traums und finden ihr Zuhause auf der Ebene des smaragdgrünen Traums. Diese Ebene ist nicht nur ein Ort der Traumkunst, sondern ein riesiges grünes Reich des unverdorbenen Paradieses. Andere Schwärme nennen die Grünen oft Brüder und Schwestern des Traums, wegen des Reiches, aus dem sie stammen. Der grüne Drache hat durchscheinende, juwelenartige Schuppen, die von einem schwachen grünen Licht erstrahlen. Seine Augen sind leuchtende Kugeln aus grün-goldenem Licht, ohne Pupillen oder Iris. Seine gewundene und glänzende Form fliegt durch die Luft, als würde er durch Wasser schwimmen. Grüne Drachen haben im smaragdgrünen Traum keine Feinde, aber sie wissen, dass die Welt von Azeroth nicht so glücklich oder friedlich ist. Sie sind durchaus in der Lage zu kämpfen, aber sie entscheiden sich für gewöhnlich dagegen, wenn es eine andere Möglichkeit als ihren eigenen Tod gibt. Wenn ein Konflikt unvermeidlich ist, versuchen sie, die Feinde mit ihrem Atem zu neutralisieren und das Gebiet zu verlassen. Einige betrachten grüne Drachen als Pazifisten oder Schwächlinge. Diejenigen, die einen Gründrachen aufgescheucht haben, um zu kämpfen, erkennen schnell den Irrtum. Schließlich sind Träume und Alpträume nicht so sehr verschieden.;;;;;;;;;;;x
creature_green_wyrm;Green Wyrm;Wyrm émeraude;Grüner Wyrm;;;;;;;;;;;x
creature_green_wyrm_desc;Wyrm is the elder stage of the dragon life cycle.\n\nGreen dragons are rare creatures, not often seen on the physical plane. They are creatures of dream and make their home on the plane of the Emerald Dream. This plane is not just a place of dream crafting, but an immense verdant realm of unspoiled paradise. Other flights often call greens "brothers and sisters of dream" in respect to the realm from which they hail. The dragon has translucent, jewel-like scales that shine with a faint green light. Its eyes are glowing orbs of green-gold light, with no pupils or irises. Its sinuous and shining form flies through the air as if swimming through water. Green dragons have no enemies in the Emerald Dream, but they know that the world of Azeroth is not as lucky or as peaceful. They are capable of fighting, but choose not to if there is any option other than their own death. If conflict is unavoidable, they try to neutralize foes with their breath and leave the area. Some consider green dragons to be pacifists or weaklings. Those who have roused a green to combat fast learn the error of this opinion. After all, dreams and nightmares are not so very different.;;Die ältesten Drachen werden Wyrme genannt.\n\nGrüne Drachen sind seltene Kreaturen, die nicht oft auf der körperlichen Ebene zu beobachten sind. Sie sind Kreaturen des Traums und finden ihr Zuhause auf der Ebene des smaragdgrünen Traums. Diese Ebene ist nicht nur ein Ort der Traumkunst, sondern ein riesiges grünes Reich des unverdorbenen Paradieses. Andere Schwärme nennen die Grünen oft Brüder und Schwestern des Traums, wegen des Reiches, aus dem sie stammen. Der grüne Drache hat durchscheinende, juwelenartige Schuppen, die von einem schwachen grünen Licht erstrahlen. Seine Augen sind leuchtende Kugeln aus grün-goldenem Licht, ohne Pupillen oder Iris. Seine gewundene und glänzende Form fliegt durch die Luft, als würde er durch Wasser schwimmen. Grüne Drachen haben im smaragdgrünen Traum keine Feinde, aber sie wissen, dass die Welt von Azeroth nicht so glücklich oder friedlich ist. Sie sind durchaus in der Lage zu kämpfen, aber sie entscheiden sich für gewöhnlich dagegen, wenn es eine andere Möglichkeit als ihren eigenen Tod gibt. Wenn ein Konflikt unvermeidlich ist, versuchen sie, die Feinde mit ihrem Atem zu neutralisieren und das Gebiet zu verlassen. Einige betrachten grüne Drachen als Pazifisten oder Schwächlinge. Diejenigen, die einen Gründrachen aufgescheucht haben, um zu kämpfen, erkennen schnell den Irrtum. Schließlich sind Träume und Alpträume nicht so sehr verschieden.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
creature_black_whelp;Black Whelp;Dragonnet noir;Schwarzer Welpe;;;;;;;;;;;x
